NOMBRE,EQUIPAMIENTO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,DISTRITO,LATITUD,LONGITUD
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,1 Campo de Fútbol (césped artificial),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8789e08dc3ee0110VgnVCM1000000b205a0aRCRD,RIO ZANCARA,GLORIETA,1,MONCLOA-ARAVACA,40.45272561748863,-3.7796095540530086
Instalación Deportiva Municipal Básica C.P. Aragón,1 Campo de fútbol 11 de césped artificial,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cba58203c8485110VgnVCM1000000b205a0aRCRD,ANTONIO MAIRENA,CALLE,23,PUENTE DE VALLECAS,40.39173622231404,-3.638534214819895
Instalación Deportiva Municipal Básica Calanda,Pista de Chito,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7132f9841a61110VgnVCM1000000b205a0aRCRD,CALANDA,CALLE,30,HORTALEZA,40.46246051111333,-3.641472895181452
Instalación Deportiva Municipal Básica Caleruega,1 Pista de baloncesto,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=be549256c6bed210VgnVCM1000000b205a0aRCRD,CALERUEGA,CALLE,52,CIUDAD LINEAL,40.48107021761235,-3.671594589647619
Instalación Deportiva Municipal Básica Camino Viejo de Leganés,1 Pista polideportiva,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c8cea3c8dd71110VgnVCM1000000b205a0aRCRD,CAMINO VIEJO DE LEGANES,CALLE,S/N,CARABANCHEL,40.38117601531834,-3.731343103155248
Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita,1 Campo de Fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=be23d10fd4f65110VgnVCM1000000b205a0aRCRD,GENERAL RICARDOS,CALLE,166,CARABANCHEL,40.3879590752267,-3.732889210629677
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=417aa1c3a9e61110VgnVCM1000000b205a0aRCRD,ERMITA DEL SANTO,PASEO,S/N,CARABANCHEL,40.39949108577098,-3.732825709268183
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4ba3fa5ace85110VgnVCM1000000b205a0aRCRD,DOCTOR GARCIA TAPIA,AVENIDA,113,MORATALAZ,40.41154005341027,-3.642828451015245
Instalación Deportiva Municipal Básica Campo de fútbol de la A. D. Orcasitas,1 Campo de fútbol 11 de césped artificial,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94d96bdaa0149710VgnVCM1000001d4a900aRCRD,RAFAELA YBARRA,AVENIDA,119,USERA,40.36720552010195,-3.71208812822708
Instalación Deportiva Municipal Básica Canal de Panamá,1 Pista de fútbol sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98bb6f91462a1110VgnVCM1000000b205a0aRCRD,CANAL DE PANAMA,CALLE,S/N,CIUDAD LINEAL,40.44098424268766,-3.6520112027455554
