PK,NOMBRE,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
5963709,Jardín de Embajadores M-30,,Instalaciones deportivas,"Bus: 62 y 88  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4edc357e87e2e210VgnVCM2000000c205a0aRCRD,PUERTO DE LA CRUZ VERDE,CALLE,V,29.0,MADRID,MADRID,28045.0,LEGAZPI,ARGANZUELA,441788.0,4470626.0,40.38418473435094,-3.685817452497564
6011067,Jardín de Larra,,No especificado,"Metro: Opera (líneas 2, 5 y ramal) Bus: 3, 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04de61226f6ee210VgnVCM1000000b205a0aRCRD,FACTOR,CALLE,V,7.0,MADRID,MADRID,28013.0,PALACIO,CENTRO,439528.0,4474211.0,40.41631909566782,-3.712793771176405
5996843,Jardín de la Colonia Congosto,,Zona infantil Zona canina,"Metro: Congosto (línea 1) Bus: 54 y L1  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8a5d9e4faebe210VgnVCM2000000c205a0aRCRD,CONGOSTO,CALLE,V,70.0,MADRID,MADRID,28031.0,CASCO H.VALLECAS,VILLA DE VALLECAS,447504.0,4469108.0,40.37089825532696,-3.618365854832584
5967788,Jardín de las Bellas Artes,,No especificado,"Metro: Gregorio Marañón (líneas 7 y 10) Bús: 7, 12, 14, 27, 40, 45, 147 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1777c5ab4774e210VgnVCM1000000b205a0aRCRD,CASTELLANA,PASEO,V,78.0,MADRID,MADRID,28046.0,EL VISO,CHAMARTIN,441434.0,4476714.0,40.4390037057741,-3.690548165248536
5978923,Jardín del Bulevar de Peña Gorbea,,No especificado,"Metro: Puente Vallecas (línea 1) Bus: 10, 24, 54, 57, 58, 310 y 410  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aaf38317117e210VgnVCM1000000b205a0aRCRD,PEÑA GORBEA,CALLE,V,17.0,MADRID,MADRID,28053.0,SAN DIEGO,PUENTE DE VALLECAS,443393.0,4471901.0,40.3957812018463,-3.667034672467617
5964328,Jardín del Maestro Padilla,,Zonas infantiles,"Bus: 25, 33, 39, 41, 68, 69, 138  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40538ced5a23e210VgnVCM1000000b205a0aRCRD,SAN ALEJANDRO,CALLE,V,1.0,MADRID,MADRID,28005.0,IMPERIAL,ARGANZUELA,438793.0,4472904.0,40.404491323444994,-3.721330823979868
5981891,Jardín del Templo de Debod,,Zonas Infantiles,"Metro: Plaza de España (líneas 3 y 10), Ventura Rodríguez (línea 3) Bus: 25, 33, 39, 46, 74, 75, 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9c8f88faab7e210VgnVCM1000000b205a0aRCRD,FERRAZ,CALLE,V,1.0,MADRID,MADRID,28008.0,CASA DE CAMPO,MONCLOA-ARAVACA,439218.0,4475093.0,40.42425096551599,-3.716531855540272
5997538,Jardín del paseo Federico García Lorca,,Zonas infantiles Fuente ornamental,"Metro: Villa Vallecas (línea 1) Bus: 54 , 58 , 103 , 142 , 143 , N9 , L1  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2ee9fb0adf2ce210VgnVCM1000000b205a0aRCRD,FEDERICO GARCIA LORCA,PASEO,V,21.0,MADRID,MADRID,28031.0,CASCO H.VALLECAS,VILLA DE VALLECAS,447315.0,4469832.0,40.37740868500615,-3.620640036186304
5981149,Jardín el Torero,,Zonas infantiles Instalaciones deportivas,"Bus: 23 , 55 , 60  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee1a6a14ec67e210VgnVCM2000000c205a0aRCRD,TORERO,CALLE,V,6.0,MADRID,MADRID,28026.0,MOSCARDO,USERA,440113.0,4471526.0,40.39218269145896,-3.7056345651289417
5986859,Jardín histórico El Capricho de la Alameda Osuna,"Del 1 de octubre al 31 de marzo sábados, domingos y festivos de 9 a 18:30 horas. Del 1 de abril al 30 de septiembre sábados, domingos y festivos de 9 a 21 horas. Los días 25 de diciembre y 1 de enero el parque permanece cerrado al público.",No especificado,"Metro: El Capricho (linea 5) Autobús: 101, 105 y 151  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9db6fb010e99e210VgnVCM1000000b205a0aRCRD,ALAMEDA DE OSUNA,PASEO,V,25.0,MADRID,MADRID,28042.0,ALAMEDA DE OSUNA,BARAJAS,449118.0,4478373.0,40.45446361509569,-3.600096436030348
6004296,Palacio de Cristal de la Arganzuela: Invernadero,"Invierno. De 16 de sptiembre a 14 de junio. De martes a viernes de 9 a 14 horas. Sábados, domingos y festivos de 10 a 14 horas.  Verano. De 15 de junio a 15 de septiembre. De martes a viernes de 9 a 14 horas. Sábados, domingos y festivos de 10 a 14 horas.",No especificado,"Metro: Legazpi (Línea 3 y línea 6) Bus: 6, 18, 19, 45, 47, 59, 62, 76, 78, 86, 148, 247  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d855cf8438de210VgnVCM1000000b205a0aRCRD,CHOPERA,PASEO,V,10.0,MADRID,MADRID,28045.0,CHOPERA,ARGANZUELA,440714.0,4471656.0,40.3933877847248,-3.698565632659468
5966148,Parque Agustín Rodríguez Sahagún,,Zonas infantiles Zonas de mayores Instalaciones deportivas Auditorios Carril Bici,"Bus: 49 , 126 , 128  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7a655b6e783e210VgnVCM1000000b205a0aRCRD,DIRECCION,PASEO,V,301.0,MADRID,MADRID,28029.0,VALDEACEDERAS,TETUAN,440331.0,4480188.0,40.47022952429582,-3.7038792453996394
6457128,Parque Alcalde Jesús Pérez Quijano,,Zonas  infantiles Zonas de mayores Zonas caninas Instalaciones deportivas,"Metro: Valdebernardo (línea 9) Bus: 20  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08c6d27a5c6b7310VgnVCM2000000c205a0aRCRD,LADERA DE LOS ALMENDROS,CALLE,V,0.0,MADRID,MADRID,28032.0,CASCO H.VICALVARO,VICALVARO,447145.0,4472806.0,40.40418961057298,-3.622901144863193
10289409,Parque Alfredo Kraus,Abierto todo el año.,No especificado,"Metro: 'Mar de Cristal', líneas 4 y 8 Autobuses: 87, 120, 125 y 172  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=14a8d36de4cca510VgnVCM2000001f4a900aRCRD,MAR ADRIATICO,CALLE,V,5.0,MADRID,MADRID,28033.0,PINAR DEL REY,HORTALEZA,445804.0,4480230.0,40.47098300036034,-3.639325156722205
5993604,Parque Almansa,,No especificado,"Metro: 'Cuatro Caminos', líneas 1, 2 y 6 Autobuses: 45  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=667c1544198be210VgnVCM2000000c205a0aRCRD,ALMANSA,CALLE,V,97.0,MADRID,MADRID,28040.0,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,439510.0,4477867.0,40.449252672650985,-3.7133420888843114
5984172,Parque Aluche,,Zonas infantiles Zonas de mayores Instalaciones deportivas Auditorios Carril bici Carrusel Kiosco,"Metro: Aluche (linea 5) Bus: 25, 121, 131 y 138 RENFE: Aluche",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5b4abb9e009e210VgnVCM1000000b205a0aRCRD,TEMBLEQUE,CALLE,V,45.0,MADRID,MADRID,28024.0,ALUCHE,LATINA,435562.0,4471802.0,40.39432035941884,-3.7592814565910553
5986186,Parque Aluche - Poblados,,Zonas infantiles Instalaciones deportivas Pistas de petanca,"Metro: Aluche (linea 5) Bus: 17, 117, 139 Renfe: Aluche  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f96136c32a59e210VgnVCM2000000c205a0aRCRD,GUAREÑA,CALLE,V,22.0,MADRID,MADRID,28044.0,LAS AGUILAS,LATINA,435053.0,4470820.0,40.38543450752234,-3.765190215590101
5981072,Parque Alzola,,Zonas infantiles Parking,"Bus: 60 , 131  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82a58b930b67e210VgnVCM2000000c205a0aRCRD,BEASAIN,CALLE,V,2.0,MADRID,MADRID,28041.0,ORCASITAS,USERA,439410.0,4468756.0,40.36716919688689,-3.7136655626692887
5994520,Parque Antonio Pirala,,Zonas infantiles Zonas caninas Instalaciones deportivas,"Metro: Carmen, Ventas (linea 5 y linea 2) Bus: 38, 106, 110, 146, 210  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d77f1a2a419be210VgnVCM1000000b205a0aRCRD,ANTONIO PIRALA,CALLE,V,8.0,MADRID,MADRID,28017.0,VENTAS,CIUDAD LINEAL,444047.0,4475544.0,40.428652595625735,-3.659649292346212
5962985,Parque Anunciación,,No especificado,"Bus: 20, 26, 63.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=18f52d0109d2e210VgnVCM2000000c205a0aRCRD,ANUNCIACION,CALLE,V,1.0,MADRID,MADRID,28009.0,NIÑO JESUS,RETIRO,442659.0,4473699.0,40.41192841997151,-3.67583331713166
5985636,Parque Arquitecto Antonio Palacios,,Zonas infantiles Esculturas,"Metro: Torre Arias (línea 5) Bus: 28, 48  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4e39f4e0f49e210VgnVCM2000000c205a0aRCRD,FENELON,CALLE,V,17.0,MADRID,MADRID,28022.0,CANILLEJAS,SAN BLAS-CANILLEJAS,448372.0,4476604.0,40.43847239256322,-3.608750153308992
5979932,Parque Arroyo Fontarrón,,Zonas infantiles Zonas caninas,"Bus: 8, 20, 30, 100  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38c946a92b57e210VgnVCM1000000b205a0aRCRD,ARROYO FONTARRON,CALLE,V,22.0,MADRID,MADRID,28030.0,PAVONES,MORATALAZ,446012.0,4471768.0,40.39476596114844,-3.636164605181752
